@relation Training

@attribute COUNT numeric
@attribute "POWER SUPPLY VOLTAGE" numeric
@attribute CURRENT numeric
@attribute FREQUENCY numeric
@attribute "NOISE LEVEL" numeric
@attribute "OPERATING VOLTAGE RANGE" numeric


@data
22500 , 13.11 , 1.29 , 384 , 104.94 , 7.32 
22600 , 13.14 , 1.27 , 398 , 104.15 , 8.51 
22700 , 13.14 , 1.37 , 388 , 105.88 , 9.88 
22800 , 13.13 , 1.33 , 368 , 106.09 , 8.33 
22900 , 13.17 , 1.37 , 384 , 106.23 , 7.54 
23000 , 13.15 , 1.35 , 368 , 105.41 , 8.42 
23100 , 13.13 , 1.4 , 388 , 107.38 , 7.55 
23200 , 13.14 , 1.34 , 372 , 106.41 , 7.74 
23300 , 13.14 , 1.41 , 366 , 106.17 , 6.63 
23400 , 13.12 , 1.37 , 406 , 106.23 , 7.3 
23500 , 13.15 , 1.36 , 380 , 106.41 , 7.26 
23600 , 13.14 , 1.37 , 396 , 105.92 , 7.66 
23700 , 13.12 , 1.39 , 374 , 106.33 , 8.16 
23800 , 13.13 , 1.37 , 366 , 107.3 , 7.98 
23900 , 13.15 , 1.26 , 384 , 103.4 , 9.83 
24000 , 13.13 , 1.3 , 362 , 105.6 , 7.51 
24100 , 13.13 , 1.4 , 378 , 106.5 , 7.73 
24200 , 13.16 , 1.26 , 372 , 103.19 , 7.79 
24300 , 13.15 , 1.29 , 388 , 103.73 , 7.9 
24400 , 13.12 , 1.34 , 384 , 106.2 , 7.47 
24500 , 13.15 , 1.42 , 378 , 105.38 , 7.97 
24600 , 13.12 , 1.34 , 366 , 106.67 , 8.31 
24700 , 13.14 , 1.47 , 358 , 103.53 , 8.79 
24800 , 13.13 , 1.38 , 366 , 107.21 , 7.71 
24900 , 13.13 , 1.35 , 384 , 105.89 , 7.62 
25000 , 13.15 , 1.38 , 390 , 106.41 , 7.18 
25100 , 13.16 , 1.35 , 380 , 105.93 , 9.1 
25200 , 13.14 , 1.38 , 366 , 106.38 , 7.72 
25300 , 13.13 , 1.39 , 380 , 105.72 , 8.62 
25400 , 13.18 , 1.26 , 378 , 103.52 , 7.71 
25500 , 13.15 , 1.21 , 390 , 101.65 , 8.2 
25600 , 13.13 , 1.36 , 374 , 105.45 , 7.71 
25700 , 13.12 , 1.4 , 382 , 107.04 , 8.45 
25800 , 13.14 , 1.42 , 368 , 105.04 , 7.05 
